shift_id,engineer_id,station,start_utc,end_utc,busy_until_utc,last_verified_at,data_class
SHIFT-DXB-01-0,ENG-DXB-01,DXB,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-01-1,ENG-DXB-01,DXB,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-01-2,ENG-DXB-01,DXB,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-02-0,ENG-DXB-02,DXB,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-02-1,ENG-DXB-02,DXB,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-02-2,ENG-DXB-02,DXB,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-03-0,ENG-DXB-03,DXB,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-03-1,ENG-DXB-03,DXB,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-03-2,ENG-DXB-03,DXB,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-04-0,ENG-DXB-04,DXB,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-04-1,ENG-DXB-04,DXB,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-DXB-04-2,ENG-DXB-04,DXB,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-01-0,ENG-FRA-01,FRA,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-01-1,ENG-FRA-01,FRA,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-01-2,ENG-FRA-01,FRA,2026-09-16T05:00:00Z,2026-09-16T13:00:00Z,2026-09-16T06:45:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-02-0,ENG-FRA-02,FRA,2026-09-14T05:00:00Z,2026-09-14T13:00:00Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
SHIFT-FRA-02-1,ENG-FRA-02,FRA,2026-09-15T05:00:00Z,2026-09-15T13:00:00Z,2026-09-15T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
