work_order_id,defect_id,task_reference,station,started_at,completed_at,status,summary,data_class
WO-0001,HIST-0001,SIM-HIST-TASK-DEMO-A350-21-047,MUC,2026-04-24T05:05:00Z,2026-04-24T08:09:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0002,HIST-0002,SIM-HIST-TASK-DEMO-25-019,DOH,2026-04-16T04:05:00Z,2026-04-16T04:46:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0003,HIST-0003,SIM-HIST-TASK-DEMO-25-019,LHR,2026-06-16T06:05:00Z,2026-06-16T09:21:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0004,HIST-0004,SIM-HIST-TASK-DEMO-44-018,VIE,2026-03-20T02:05:00Z,2026-03-20T04:47:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0005,HIST-0005,SIM-HIST-TASK-DEMO-A350-21-047,DOH,2026-04-02T01:05:00Z,2026-04-02T02:15:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0006,HIST-0006,SIM-HIST-TASK-DEMO-25-019,FRA,2026-08-19T22:05:00Z,2026-08-20T00:18:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0007,HIST-0007,SIM-HIST-TASK-DEMO-44-018,AUH,2026-08-20T03:05:00Z,2026-08-20T03:41:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0008,HIST-0008,SIM-HIST-TASK-DEMO-33-012,AMS,2026-03-25T06:05:00Z,2026-03-25T08:34:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0009,HIST-0009,SIM-HIST-TASK-DEMO-25-019,CDG,2026-08-08T22:05:00Z,2026-08-09T00:49:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0010,HIST-0010,SIM-HIST-TASK-DEMO-33-012,AMS,2026-06-13T00:05:00Z,2026-06-13T01:40:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0011,HIST-0011,SIM-HIST-TASK-DEMO-25-027,DXB,2026-07-05T03:05:00Z,2026-07-05T06:03:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0012,HIST-0012,SIM-HIST-TASK-DEMO-44-018,FCO,2026-07-21T05:05:00Z,2026-07-21T05:41:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0013,HIST-0013,SIM-HIST-TASK-DEMO-25-019,DXB,2026-05-04T00:05:00Z,2026-05-04T02:59:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0014,HIST-0014,SIM-HIST-TASK-DEMO-44-031,VIE,2026-06-19T01:05:00Z,2026-06-19T03:31:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0015,HIST-0015,SIM-HIST-TASK-DEMO-44-018,BRU,2026-05-05T00:05:00Z,2026-05-05T03:20:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0016,HIST-0016,SIM-HIST-TASK-DEMO-25-019,AMS,2026-05-05T22:05:00Z,2026-05-06T01:30:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0017,HIST-0017,SIM-HIST-TASK-DEMO-25-027,CDG,2026-08-13T22:05:00Z,2026-08-14T00:19:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0018,HIST-0018,SIM-HIST-TASK-DEMO-25-027,CDG,2026-04-12T23:05:00Z,2026-04-13T01:54:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0019,HIST-0019,SIM-HIST-TASK-DEMO-33-012,FCO,2026-03-29T22:05:00Z,2026-03-29T23:14:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0020,HIST-0020,SIM-HIST-TASK-DEMO-44-018,CDG,2026-06-20T23:05:00Z,2026-06-21T02:05:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0021,HIST-0021,SIM-HIST-TASK-DEMO-25-019,AMS,2026-06-01T06:05:00Z,2026-06-01T08:55:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0022,HIST-0022,SIM-HIST-TASK-DEMO-44-031,AUH,2026-07-26T05:05:00Z,2026-07-26T07:00:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0023,HIST-0023,SIM-HIST-TASK-DEMO-33-012,AMS,2026-09-05T02:05:00Z,2026-09-05T03:34:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0024,HIST-0024,SIM-HIST-TASK-DEMO-44-031,MUC,2026-04-07T02:05:00Z,2026-04-07T05:08:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0025,HIST-0025,SIM-HIST-TASK-DEMO-44-031,VIE,2026-04-17T02:05:00Z,2026-04-17T04:39:00Z,CLOSED,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,SYNTHETIC
WO-0026,HIST-0026,SIM-HIST-TASK-DEMO-25-019,ZRH,2026-07-27T00:05:00Z,2026-07-27T00:40:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
WO-0027,HIST-0027,SIM-HIST-TASK-DEMO-A350-21-047,DOH,2026-04-17T04:05:00Z,2026-04-17T07:30:00Z,CLOSED,Historical record reports a connection-related indication issue corrected under the then-applicable work package. This does not establish the cause of a new defect.,SYNTHETIC
WO-0028,HIST-0028,SIM-HIST-TASK-DEMO-44-018,FCO,2026-06-22T05:05:00Z,2026-06-22T06:48:00Z,CLOSED,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,SYNTHETIC
WO-0029,HIST-0029,SIM-HIST-TASK-DEMO-44-018,ZRH,2026-07-17T05:05:00Z,2026-07-17T07:55:00Z,CLOSED,Follow-up engineering review recorded; case closed only after separately authorized action.,SYNTHETIC
