lot_id,operator_id,part_id,station,qty_on_hand,qty_reserved,condition,release_doc_status,release_doc_id,expiry_utc,owner_type,borrow_approved,bin_location,last_verified_at,row_version,data_class
LOT-FRA-CZT-Q,SIM-AIR,DEMO-CZT-100,FRA,1,0,QUARANTINE,VERIFIED,SIM-REL-LOT-FRA-CZT-Q,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-A01,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-AMS-CZT-1,SIM-AIR,DEMO-CZT-100,AMS,1,0,SERVICEABLE,VERIFIED,SIM-REL-LOT-AMS-CZT-1,2027-06-30T23:59:59Z,POOL,1,AMS-SIM-A01,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-CDG-CZT-1,SIM-AIR,DEMO-CZT-100,CDG,2,0,SERVICEABLE,VERIFIED,SIM-REL-LOT-CDG-CZT-1,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-A01,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-DXB-CZT-1,SIM-AIR,DEMO-CZT-100,DXB,4,0,SERVICEABLE,VERIFIED,SIM-REL-LOT-DXB-CZT-1,2027-06-30T23:59:59Z,OWNED,1,DXB-SIM-A01,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-VIE-CZT-P,SIM-AIR,DEMO-CZT-100,VIE,1,0,SERVICEABLE,PENDING,SIM-REL-LOT-VIE-CZT-P,2027-06-30T23:59:59Z,POOL,0,VIE-SIM-A01,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-LHR-CZT-U,SIM-AIR,DEMO-CZT-100,LHR,1,0,UNSERVICEABLE,MISSING,SIM-REL-LOT-LHR-CZT-U,2027-06-30T23:59:59Z,OWNED,1,LHR-SIM-A01,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0001,SIM-AIR,DEMO-PART-003,FRA,5,4,SERVICEABLE,VERIFIED,SIM-REL-0001,2027-06-30T23:59:59Z,OWNED,1,FRA-SIM-001,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0002,SIM-AIR,DEMO-PART-004,AMS,5,2,QUARANTINE,VERIFIED,SIM-REL-0002,2027-06-30T23:59:59Z,OWNED,1,AMS-SIM-002,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0003,SIM-AIR,DEMO-PART-005,CDG,3,3,SERVICEABLE,VERIFIED,SIM-REL-0003,2027-06-30T23:59:59Z,OWNED,1,CDG-SIM-003,2026-09-14T06:00:00Z,1,SYNTHETIC
LOT-0004,SIM-AIR,DEMO-PART-006,MUC,0,0,QUARANTINE,VERIFIED,SIM-REL-0004,2027-06-30T23:59:59Z,OWNED,1,MUC-SIM-004,2026-09-14T06:00:00Z,1,SYNTHETIC
