doc_id,operator_id,title,doc_type,aircraft_type,config_code,station,revision,valid_from,valid_to,status,trust_status,markdown_path,pdf_path,sha256,data_class
SIM-PROC-21-R3,SIM-AIR,Pre-arrival cabin-zone indication planning brief,PLANNING,A350-900,CAB-C01,ALL,3,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-PROC-21-R3.md,knowledge/pdf/SIM-PROC-21-R3.pdf,145628b87adee81c163597b423c89d7f969fd336a7ccac207df43ea62b06e044,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-MEL-21-R2,SIM-AIR,Post-arrival MEL evidence checklist,DISPATCH_REVIEW,A350-900,CAB-C01,ALL,2,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-MEL-21-R2.md,knowledge/pdf/SIM-MEL-21-R2.pdf,e40eccd91ea528df5e6e441d387ed92322f79c5b55b7da3c85af72e03d05b3a9,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-SOP-REC-R1,SIM-AIR,Ground recovery authorization and preparation,SOP,ALL,ALL,ALL,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-SOP-REC-R1.md,knowledge/pdf/SIM-SOP-REC-R1.pdf,92bdda2271c5c7ebfb16579ceff3ab8f62156614852112230c16dc82e3c307cd,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-ENG-21-R1,SIM-AIR,Repeat-indication engineering context,ENGINEERING_NOTE,A350-900,CAB-C01,ALL,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-ENG-21-R1.md,knowledge/pdf/SIM-ENG-21-R1.pdf,0a12add2f4864626ecd78a6ce1fc8b055d0a48513a730feaf547f8ab50e4b3c0,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-FRA-STA-R1,SIM-AIR,Frankfurt station arrival coordination,STATION,ALL,ALL,FRA,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-FRA-STA-R1.md,knowledge/pdf/SIM-FRA-STA-R1.pdf,6068df0841783b346c56a4c6834aa2d96ba7b1ca89f26735161b333efe3bdb5b,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-STORES-R1,SIM-AIR,Materials acceptance and hold rules,STORES,ALL,ALL,ALL,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-STORES-R1.md,knowledge/pdf/SIM-STORES-R1.pdf,d27cb254c2fbb260712e16697c367e21521c8a5c879c86341aabe2945fdebe61,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-AUTH-R1,SIM-AIR,Engineer eligibility checklist,RESOURCE,ALL,ALL,ALL,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-AUTH-R1.md,knowledge/pdf/SIM-AUTH-R1.pdf,8a40eacb4ae0d189cf751992a111935ed6e9c37737225feff5e19ab4ce770adc,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-OCC-R1,SIM-AIR,Ground readiness and onward flight impact,OPERATIONS,ALL,ALL,ALL,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-OCC-R1.md,knowledge/pdf/SIM-OCC-R1.pdf,f6a08afc677bfbe1d4cc8cf0b8fdca408407c5242723b3fa1ff1f94e4c013a67,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-LOG-AMS-R1,SIM-AIR,Amsterdam contingency movement planning,LOGISTICS,ALL,ALL,ALL,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-LOG-AMS-R1.md,knowledge/pdf/SIM-LOG-AMS-R1.pdf,57cc944b21a3cc980d311e8e60b26629c118c3a47d034f48b7cb71d85e65f4a7,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-WO-0042-R1,SIM-AIR,Historical work package WO-0042,HISTORICAL,A350-900,CAB-C01,ALL,1,2026-09-01T00:00:00Z,2027-09-01T00:00:00Z,ACTIVE,TRUSTED,knowledge/markdown/SIM-WO-0042-R1.md,knowledge/pdf/SIM-WO-0042-R1.pdf,a1a220a5e1f0ad87ebe291e46fbf74c36378caa3c4d051170f0c527fb42b343b,SYNTHETIC_NOT_FOR_MAINTENANCE
SIM-PROC-21-R1,SIM-AIR,Retired cabin indication planning brief,PLANNING,A350-900,CAB-C01,ALL,1,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,RETIRED,TRUSTED,knowledge/markdown/SIM-PROC-21-R1.md,knowledge/pdf/SIM-PROC-21-R1.pdf,b57325475c1658a10e91b3693df39be5347e7f9ec034fc93efa424b1fcf05bad,SYNTHETIC_NOT_FOR_MAINTENANCE
