aircraft_id,operator_id,tail_display,aircraft_type,config_code,base_station,seat_capacity,data_class
AC-001,SIM-AIR,A6-SLM,A350-900,CAB-C01,DXB,312,SYNTHETIC
AC-002,SIM-AIR,SIM-TAIL-02,A350-900,CAB-C01,DXB,312,SYNTHETIC
AC-003,SIM-AIR,SIM-TAIL-03,A350-900,CAB-C01,DXB,312,SYNTHETIC
AC-004,SIM-AIR,SIM-TAIL-04,A350-900,CAB-C01,DXB,312,SYNTHETIC
AC-005,SIM-AIR,SIM-TAIL-05,A350-900,CAB-C01,DXB,312,SYNTHETIC
AC-006,SIM-AIR,SIM-TAIL-06,A350-900,CAB-C01,DXB,312,SYNTHETIC
AC-007,SIM-AIR,SIM-TAIL-07,A350-900,CAB-C02,DXB,312,SYNTHETIC
AC-008,SIM-AIR,SIM-TAIL-08,A350-900,CAB-C02,DXB,312,SYNTHETIC
AC-009,SIM-AIR,SIM-TAIL-09,B777-300ER,CAB-C02,DXB,354,SYNTHETIC
AC-010,SIM-AIR,SIM-TAIL-10,B777-300ER,CAB-C02,DXB,354,SYNTHETIC
AC-011,SIM-AIR,SIM-TAIL-11,A320-200,CAB-C02,DXB,174,SYNTHETIC
AC-012,OTHER-AIR,SIM-TAIL-12,A320-200,CAB-C02,DOH,174,SYNTHETIC
