flight_id,operator_id,aircraft_id,display_number,origin,destination,scheduled_out_utc,scheduled_in_utc,estimated_landing_utc,estimated_inblock_utc,other_turnaround_ready_utc,dispatch_buffer_minutes,passengers,crew_ready,slot_confirmed,status,source_basis,data_class
FLT-043,SIM-AIR,AC-001,SIM043 / EK43-pattern,DXB,FRA,2026-09-13T23:25:00Z,2026-09-14T06:50:00Z,2026-09-14T06:40:00Z,2026-09-14T06:50:00Z,2026-09-13T23:05:00Z,20,286,1,1,AIRBORNE,S02 published route/time anchor; operator/tail allocation simulated,SYNTHETIC
FLT-044,SIM-AIR,AC-001,SIM044 / EK44-pattern,FRA,DXB,2026-09-14T09:00:00Z,2026-09-14T15:20:00Z,2026-09-14T15:10:00Z,2026-09-14T15:20:00Z,2026-09-14T08:40:00Z,20,242,1,1,SCHEDULED,S02 published route/time anchor; operator/tail allocation simulated,SYNTHETIC
F-02-0-A,SIM-AIR,AC-002,SIM020A,DXB,FRA,2026-09-14T00:00:00Z,2026-09-14T06:00:00Z,2026-09-14T05:50:00Z,2026-09-14T06:00:00Z,2026-09-13T23:40:00Z,20,289,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-0-B,SIM-AIR,AC-002,SIM020B,FRA,DXB,2026-09-14T10:15:00Z,2026-09-14T16:15:00Z,2026-09-14T16:05:00Z,2026-09-14T16:15:00Z,2026-09-14T09:55:00Z,20,260,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-1-A,SIM-AIR,AC-002,SIM021A,DXB,FRA,2026-09-15T02:00:00Z,2026-09-15T08:00:00Z,2026-09-15T07:50:00Z,2026-09-15T08:00:00Z,2026-09-15T01:40:00Z,20,280,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-1-B,SIM-AIR,AC-002,SIM021B,FRA,DXB,2026-09-15T10:15:00Z,2026-09-15T16:15:00Z,2026-09-15T16:05:00Z,2026-09-15T16:15:00Z,2026-09-15T09:55:00Z,20,225,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-2-A,SIM-AIR,AC-002,SIM022A,DXB,FRA,2026-09-16T02:00:00Z,2026-09-16T08:00:00Z,2026-09-16T07:50:00Z,2026-09-16T08:00:00Z,2026-09-16T01:40:00Z,20,238,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-2-B,SIM-AIR,AC-002,SIM022B,FRA,DXB,2026-09-16T10:15:00Z,2026-09-16T16:15:00Z,2026-09-16T16:05:00Z,2026-09-16T16:15:00Z,2026-09-16T09:55:00Z,20,249,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-3-A,SIM-AIR,AC-002,SIM023A,DXB,FRA,2026-09-17T02:00:00Z,2026-09-17T08:00:00Z,2026-09-17T07:50:00Z,2026-09-17T08:00:00Z,2026-09-17T01:40:00Z,20,231,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-3-B,SIM-AIR,AC-002,SIM023B,FRA,DXB,2026-09-17T10:15:00Z,2026-09-17T16:15:00Z,2026-09-17T16:05:00Z,2026-09-17T16:15:00Z,2026-09-17T09:55:00Z,20,272,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-4-A,SIM-AIR,AC-002,SIM024A,DXB,FRA,2026-09-18T02:00:00Z,2026-09-18T08:00:00Z,2026-09-18T07:50:00Z,2026-09-18T08:00:00Z,2026-09-18T01:40:00Z,20,267,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
F-02-4-B,SIM-AIR,AC-002,SIM024B,FRA,DXB,2026-09-18T10:15:00Z,2026-09-18T16:15:00Z,2026-09-18T16:05:00Z,2026-09-18T16:15:00Z,2026-09-18T09:55:00Z,20,259,1,1,SCHEDULED,Synthetic schedule,SYNTHETIC
