chunk_id,doc_id,ordinal,section,content,page
SIM-PROC-21-R3#S01,SIM-PROC-21-R3,1,Purpose,"SIMULATION ONLY. Original fictional planning document. Not an OEM manual, approved MEL, maintenance instruction, flight-safety assessment or release authorization. For event DEMO-A350-21-047, assemble evidence for ground inspection. Indication intermittency is the reported symptom, not a confirmed root cause.",1
SIM-PROC-21-R3#S02,SIM-PROC-21-R3,2,Information to prepare,"Collect event timestamps, affected indication group, crew narrative, existing defects and recent work orders. Do not infer continued-flight safety from this material.",1
SIM-PROC-21-R3#S03,SIM-PROC-21-R3,3,Resources,"SIM-TASK-001 requires task scope SIM-CABIN-COMFORT, a matching current operator authorization and in-calibration SIM-DIAG-CAB tooling. Resource labels are fictional.",1
SIM-PROC-21-R3#S04,SIM-PROC-21-R3,4,Part contingency,DEMO-CZT-100 is a contingency candidate only. A previous connection-related finding is not proof that a new event needs the same action or that replacement is unnecessary.,1
SIM-PROC-21-R3#S05,SIM-PROC-21-R3,5,Planning times,"Fixture assumptions: 15 minutes inspection, 10 minutes resolution, 10 minutes verification and 5 minutes recording. Replacement path uses a 75-minute complete work-package assumption. These are not maintenance labor standards.",1
SIM-PROC-21-R3#S06,SIM-PROC-21-R3,6,Decision boundary,"Authorized personnel must select and follow the real current task in any operational deployment. This document intentionally supplies no physical repair steps, test values, resets or wiring instructions.",1
SIM-MEL-21-R2#S01,SIM-MEL-21-R2,1,Scope,"SIMULATION ONLY. Original fictional planning document. Not an OEM manual, approved MEL, maintenance instruction, flight-safety assessment or release authorization. This is a review checklist, not a MEL item. No dispatch permission can be derived from this fixture.",1
SIM-MEL-21-R2#S02,SIM-MEL-21-R2,2,Required review,"An authorized reviewer must identify the applicable operator MEL entry, verify aircraft and configuration applicability, review existing deferred items, assess any conditions and confirm the required maintenance and operational procedures.",1
SIM-MEL-21-R2#S03,SIM-MEL-21-R2,3,Output,"Display POST-LANDING REVIEW ONLY and dispatch_eligibility UNKNOWN. No automatic dispatch decision, rectification category, interval or operating limitation is supplied in this fixture.",1
SIM-MEL-21-R2#S04,SIM-MEL-21-R2,4,Evidence gaps,Report missing or obsolete operator material as a blocking gap. A relevant-looking historical reference cannot replace a current applicable operator-approved document.,1
SIM-SOP-REC-R1#S01,SIM-SOP-REC-R1,1,Scope,"SIMULATION ONLY. Original fictional planning document. Not an OEM manual, approved MEL, maintenance instruction, flight-safety assessment or release authorization. Ground workflow activation is an operator-configured application authorization, not a universal aviation message field.",1
SIM-SOP-REC-R1#S02,SIM-SOP-REC-R1,2,Authorization,"Accept an event only from the trusted simulator adapter in the demo. A current MCC authorization enables read-only planning. Missing, expired or revoked authorization suspends new planning and prevents preparation writes.",1
SIM-SOP-REC-R1#S03,SIM-SOP-REC-R1,3,Human review,"An MCC reviewer approves a specific plan hash and case version. Approval covers only draft work order, simulated notifications and a reversible component hold. No purchase, shipment booking, tail swap or aircraft release is executed.",1
SIM-SOP-REC-R1#S04,SIM-SOP-REC-R1,4,Change handling,"Destination changes, revoked permission or a new event version invalidate existing recommendations. Release unused local holds and require new planning. No advice is sent to the flight crew.",1
