provider_id,station,name,contact_email,service_type,data_class
PROV-DXB-MRO,DXB,Simulation DXB MRO Services,mro.dxb@example.invalid,MRO,SYNTHETIC
PROV-DXB-LOG,DXB,Simulation DXB LOG Services,log.dxb@example.invalid,LOG,SYNTHETIC
PROV-FRA-MRO,FRA,Simulation FRA MRO Services,mro.fra@example.invalid,MRO,SYNTHETIC
PROV-FRA-LOG,FRA,Simulation FRA LOG Services,log.fra@example.invalid,LOG,SYNTHETIC
PROV-AMS-MRO,AMS,Simulation AMS MRO Services,mro.ams@example.invalid,MRO,SYNTHETIC
PROV-AMS-LOG,AMS,Simulation AMS LOG Services,log.ams@example.invalid,LOG,SYNTHETIC
PROV-CDG-MRO,CDG,Simulation CDG MRO Services,mro.cdg@example.invalid,MRO,SYNTHETIC
PROV-CDG-LOG,CDG,Simulation CDG LOG Services,log.cdg@example.invalid,LOG,SYNTHETIC
PROV-MUC-MRO,MUC,Simulation MUC MRO Services,mro.muc@example.invalid,MRO,SYNTHETIC
PROV-MUC-LOG,MUC,Simulation MUC LOG Services,log.muc@example.invalid,LOG,SYNTHETIC
PROV-VIE-MRO,VIE,Simulation VIE MRO Services,mro.vie@example.invalid,MRO,SYNTHETIC
PROV-VIE-LOG,VIE,Simulation VIE LOG Services,log.vie@example.invalid,LOG,SYNTHETIC
PROV-LHR-MRO,LHR,Simulation LHR MRO Services,mro.lhr@example.invalid,MRO,SYNTHETIC
PROV-LHR-LOG,LHR,Simulation LHR LOG Services,log.lhr@example.invalid,LOG,SYNTHETIC
PROV-FCO-MRO,FCO,Simulation FCO MRO Services,mro.fco@example.invalid,MRO,SYNTHETIC
PROV-FCO-LOG,FCO,Simulation FCO LOG Services,log.fco@example.invalid,LOG,SYNTHETIC
PROV-DOH-MRO,DOH,Simulation DOH MRO Services,mro.doh@example.invalid,MRO,SYNTHETIC
PROV-DOH-LOG,DOH,Simulation DOH LOG Services,log.doh@example.invalid,LOG,SYNTHETIC
PROV-AUH-MRO,AUH,Simulation AUH MRO Services,mro.auh@example.invalid,MRO,SYNTHETIC
PROV-AUH-LOG,AUH,Simulation AUH LOG Services,log.auh@example.invalid,LOG,SYNTHETIC
PROV-ZRH-MRO,ZRH,Simulation ZRH MRO Services,mro.zrh@example.invalid,MRO,SYNTHETIC
PROV-ZRH-LOG,ZRH,Simulation ZRH LOG Services,log.zrh@example.invalid,LOG,SYNTHETIC
PROV-BRU-MRO,BRU,Simulation BRU MRO Services,mro.bru@example.invalid,MRO,SYNTHETIC
PROV-BRU-LOG,BRU,Simulation BRU LOG Services,log.bru@example.invalid,LOG,SYNTHETIC
