defect_id,aircraft_id,fault_code,station,reported_at,symptom_text,resolution_text,resolution_class,replaced_part_id,ground_minutes,engineer_id,status,data_class
HIST-0001,AC-003,DEMO-A350-21-047,MUC,2026-04-24T05:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 1.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,184,ENG-MUC-01,CLOSED,SYNTHETIC
HIST-0002,AC-005,DEMO-25-019,DOH,2026-04-16T04:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 2.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,41,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0003,AC-005,DEMO-25-019,LHR,2026-06-16T06:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 3.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-005,196,ENG-LHR-01,CLOSED,SYNTHETIC
HIST-0004,AC-006,DEMO-44-018,VIE,2026-03-20T02:05:00Z,Cabin display data intermittent; recorded intermittently on sector 4.,Symptom not reproduced during recorded checks. Repeat history must remain visible; do not treat as proof that a new issue is harmless.,NO_FAULT_FOUND,,162,ENG-VIE-01,CLOSED,SYNTHETIC
HIST-0005,AC-005,DEMO-A350-21-047,DOH,2026-04-02T01:05:00Z,Intermittent cabin-zone temperature indication; recorded intermittently on sector 5.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-CZT-100,70,ENG-DOH-01,CLOSED,SYNTHETIC
HIST-0006,AC-006,DEMO-25-019,FRA,2026-08-19T22:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 6.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-005,133,ENG-FRA-01,CLOSED,SYNTHETIC
HIST-0007,AC-006,DEMO-44-018,AUH,2026-08-20T03:05:00Z,Cabin display data intermittent; recorded intermittently on sector 7.,Follow-up engineering review recorded; case closed only after separately authorized action.,MONITORING_REQUIRED,,36,ENG-AUH-01,CLOSED,SYNTHETIC
HIST-0008,AC-001,DEMO-33-012,AMS,2026-03-25T06:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 8.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-004,149,ENG-AMS-01,CLOSED,SYNTHETIC
HIST-0009,AC-002,DEMO-25-019,CDG,2026-08-08T22:05:00Z,Seat control panel unresponsive; recorded intermittently on sector 9.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-005,164,ENG-CDG-01,CLOSED,SYNTHETIC
HIST-0010,AC-006,DEMO-33-012,AMS,2026-06-13T00:05:00Z,Passenger reading light intermittent; recorded intermittently on sector 10.,Historical record reports component replacement after authorized troubleshooting. Planning summary only; no physical instructions.,REPLACEMENT,DEMO-PART-004,95,ENG-AMS-01,CLOSED,SYNTHETIC
