authorization_id,engineer_id,operator_id,aircraft_type,config_code,task_scope,station,valid_from,valid_to,status,data_class
AUTH-DXB-01,ENG-DXB-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,DXB,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-DXB-02,ENG-DXB-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,DXB,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-DXB-03,ENG-DXB-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,DXB,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-DXB-04,ENG-DXB-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,DXB,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-FRA-01,ENG-FRA-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,FRA,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-FRA-02,ENG-FRA-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,FRA,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-FRA-03,ENG-FRA-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,FRA,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-FRA-04,ENG-FRA-04,SIM-AIR,A320-200,CAB-C01,SIM-CABIN-COMFORT,FRA,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-AMS-01,ENG-AMS-01,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,AMS,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
AUTH-AMS-02,ENG-AMS-02,SIM-AIR,A350-900,CAB-C01,SIM-CABIN-COMFORT,AMS,2026-01-01T00:00:00Z,2026-09-01T00:00:00Z,ACTIVE,SYNTHETIC
AUTH-AMS-03,ENG-AMS-03,SIM-AIR,B777-300ER,CAB-C01,SIM-CABIN-COMFORT,AMS,2026-01-01T00:00:00Z,2027-06-30T23:59:59Z,ACTIVE,SYNTHETIC
