source_id,title,publisher,url,consulted_on,usage,limitations
S01,In-flight health monitoring,Airbus,https://www.aircraft.airbus.com/en/newsroom/news/2022-07-in-flight-health-monitoring,2026-09-14,Existing pre-arrival maintenance preparation workflow; original paraphrase only.,"Not a source of airline-specific faults, timings, spares or approved maintenance procedures."
S02,Dubai-Frankfurt flight schedules,Emirates,https://www.emirates.com/de/english/destinations/dxb/fra/flights-from-dubai-to-frankfurt/,2026-09-14,Public route and schedule snapshot: EK43 03:25 DXB / 08:50 FRA; EK44 11:00 FRA / 19:20 DXB; Airbus 350.,Date-dependent schedule; same-tail assignment and all incident details are simulated; no endorsement.
S03,A Recall on the Correct Use of the MEL,Airbus Safety First,https://safetyfirst.airbus.com/a-recall-on-the-correct-use-of-the-mel/,2026-09-14,General MEL/dispatch boundary and authorized review; no copied procedures.,Not the operator MEL; does not authorize dispatch of this fictional defect.
S04,OurAirports open data,OurAirports,https://ourairports.com/data/,2026-09-14,"Public-domain airport identifiers, names and coordinates transcribed from linked airport pages.",Community-maintained reference; no guarantee of accuracy; not for navigation. Bulk CSV download was not used.
S05,Four Priorities to Strengthen the Aviation Supply Chain,IATA,https://www.iata.org/en/pressroom/2026-releases/06-24-iata-outlines-four-priorities-to-strengthen-aviation-supply-chain/,2026-09-14,Problem framing: visibility and integration of maintenance and material information.,"Industry-level evidence, not a quantified benefit estimate for this demo."
S06,Structured Outputs,Ollama,https://docs.ollama.com/capabilities/structured-outputs,2026-09-14,Local structured JSON response API design.,Schema validity is not factual or aviation-safety validity.
S07,Tool calling,Ollama,https://docs.ollama.com/capabilities/tool-calling,2026-09-14,Optional model tool-selection implementation reference.,"This reference build uses a bounded workflow and schema-constrained search planning, not unrestricted autonomous tools."
S08,Generate embeddings,Ollama,https://docs.ollama.com/api/embed,2026-09-14,Optional local semantic retrieval adapter.,Embedding model weights are not bundled; live inference requires local installation.
S09,FAQ / local-only cloud settings,Ollama,https://docs.ollama.com/faq,2026-09-14,Local inference and OLLAMA_NO_CLOUD=1 deployment setting.,"Setting alone is not proof of sovereignty: also control egress, credentials, logs and updates."
S10,Qwen3-8B model card,Qwen,https://huggingface.co/Qwen/Qwen3-8B,2026-09-14,Candidate open-weight general model; model card lists Apache-2.0.,Not aviation-certified or validated for this task; no weights bundled; evaluate installed artifact.
S11,qwen3:8b model library entry,Ollama,https://ollama.com/library/qwen3:8b,2026-09-14,Concrete optional local model tag.,Tags can change; record local model digest and runtime version before presentation.
S12,Build an MCP server,Model Context Protocol,https://modelcontextprotocol.io/docs/develop/build-server,2026-09-14,Optional read-only stdio adapter design.,Remote enterprise MCP authentication and production gateway are not provided by the local stdio adapter.
S13,Authorization security considerations,Model Context Protocol,https://modelcontextprotocol.io/specification/2026-07-28/basic/authorization/security-considerations,2026-09-14,Production authorization considerations and token audience isolation.,Use the enterprise-approved supported specification and SDK versions at deployment.
S14,zoneinfo: IANA time zone support,Python,https://docs.python.org/3/library/zoneinfo.html,2026-09-14,"UTC storage, timezone-aware local display.","tzdata package may be needed on Windows; fixture clock is fixed, not live."
