table,field,sqlite_type,nullable,primary_key,foreign_key,default,meaning,example,seed_domain
sources,source_id,TEXT,False,True,,,Source register reference; not an operational authority.,S01,
sources,title,TEXT,False,False,,,Title for provenance register.,In-flight health monitoring,
sources,publisher,TEXT,False,False,,,Publisher for provenance register.,Airbus,
sources,url,TEXT,False,False,,,Url for provenance register.,https://www.aircraft.airbus.com/en/newsroom/news/2022-07-in-flight-health-monitoring,
sources,consulted_on,TEXT,False,False,,,Consulted on for provenance register.,2026-09-14,
sources,usage,TEXT,False,False,,,Usage for provenance register.,Existing pre-arrival maintenance preparation workflow; original paraphrase only.,
sources,limitations,TEXT,False,False,,,Limitations for provenance register.,"Not a source of airline-specific faults, timings, spares or approved maintenance procedures.",
airports,iata,TEXT,False,True,,,Iata for public airport references; not navigation data.,AMS,
airports,icao,TEXT,False,False,,,Icao for public airport references; not navigation data.,OMDB,
airports,name,TEXT,False,False,,,Name for public airport references; not navigation data.,Dubai International Airport,
airports,city,TEXT,False,False,,,City for public airport references; not navigation data.,Dubai,
airports,country,TEXT,False,False,,,Country for public airport references; not navigation data.,AE,
airports,latitude,REAL,False,False,,,Latitude for public airport references; not navigation data.,25.24979,
airports,longitude,REAL,False,False,,,Longitude for public airport references; not navigation data.,55.370992,
airports,timezone,TEXT,False,False,,,Timezone for public airport references; not navigation data.,Asia/Dubai,
airports,source_url,TEXT,False,False,,,Source url for public airport references; not navigation data.,https://ourairports.com/airports/OMDB/,
airports,data_class,TEXT,False,False,,'PUBLIC_REFERENCE',Provenance label: distinguish synthetic records from public reference facts.,PUBLIC_REFERENCE,PUBLIC_REFERENCE
operators,operator_id,TEXT,False,True,,,Tenant/operator ownership key; must not be inferred from model prose.,OTHER-AIR,
operators,name,TEXT,False,False,,,Name for synthetic tenant masters.,Simulation Airways (fictional),
operators,home_station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,DXB,
operators,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
aircraft,aircraft_id,TEXT,False,True,,,"Internal aircraft identity; used to join history, rotations and cases.",AC-001,
aircraft,operator_id,TEXT,False,False,operators.operator_id,,Tenant/operator ownership key; must not be inferred from model prose.,SIM-AIR,
aircraft,tail_display,TEXT,False,False,,,Display-only fictional registration; not a verified registered tail.,A6-SLM,
aircraft,aircraft_type,TEXT,False,False,,,Aircraft model applicability label.,A350-900,
aircraft,config_code,TEXT,False,False,,,Operator-specific fictional configuration applicability code.,CAB-C01,
aircraft,base_station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,DXB,
aircraft,seat_capacity,INTEGER,False,False,,,Seat capacity for fictional mixed-fleet masters.,312,
aircraft,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
parts,part_id,TEXT,False,True,,,Fictional component catalog identifier; not an OEM part number.,DEMO-CZT-100,
parts,description,TEXT,False,False,,,Description for fictional catalog.,Cabin zone temperature indication module (fictional part),
parts,unit,TEXT,False,False,,,Unit for fictional catalog.,EA,
parts,reference_cost_eur,REAL,False,False,,,Synthetic reference cost eur value; not a real price or booking.,3364.73,
parts,hazmat,INTEGER,False,False,,,Hazmat for fictional catalog.,0,
parts,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
part_effectivity,effectivity_id,TEXT,False,True,,,Stable effectivity identifier.,EFF-001,
part_effectivity,part_id,TEXT,False,False,parts.part_id,,Fictional component catalog identifier; not an OEM part number.,DEMO-CZT-100,
part_effectivity,operator_id,TEXT,False,False,operators.operator_id,,Tenant/operator ownership key; must not be inferred from model prose.,SIM-AIR,
part_effectivity,aircraft_type,TEXT,False,False,,,Aircraft model applicability label.,A350-900,
part_effectivity,config_code,TEXT,False,False,,,Operator-specific fictional configuration applicability code.,CAB-C01,
part_effectivity,valid_from,TEXT,False,False,,,Inclusive beginning of applicability/authorization in canonical UTC.,2026-01-01T00:00:00Z,
part_effectivity,valid_to,TEXT,False,False,,,Exclusive end of applicability/authorization in canonical UTC.,2027-01-01T00:00:00Z,
part_effectivity,approval_reference,TEXT,False,False,,,Approval reference for allowed component/type/configuration combinations.,SIM-EFF-001,
part_effectivity,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
fault_catalog,fault_code,TEXT,False,True,,,Fictional maintenance-event key; not a real cockpit warning code.,DEMO-25-019,
fault_catalog,ata_chapter,TEXT,False,False,,,ATA-style topic label for sorting; not a flight-safety classification.,21,
fault_catalog,description,TEXT,False,False,,,Description for fictional maintenance symptoms.,Intermittent cabin-zone temperature indication,
fault_catalog,part_id,TEXT,False,False,parts.part_id,,Fictional component catalog identifier; not an OEM part number.,DEMO-CZT-100,
fault_catalog,scope_note,TEXT,False,False,,,Scope note for fictional maintenance symptoms.,Invented event for ground-planning simulation; no real warning mapping or flight-safety classification.,
fault_catalog,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
providers,provider_id,TEXT,False,True,,,Stable provider identifier.,PROV-AMS-LOG,
providers,station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,DXB,
providers,name,TEXT,False,False,,,Name for fictional mro/logistics contacts.,Simulation DXB MRO Services,
providers,contact_email,TEXT,False,False,,,Contact email for fictional mro/logistics contacts.,mro.dxb@example.invalid,
providers,service_type,TEXT,False,False,,,Service type for fictional mro/logistics contacts.,MRO,
providers,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
inventory_lots,lot_id,TEXT,False,True,,,Stable lot identifier.,LOT-0001,
inventory_lots,operator_id,TEXT,False,False,operators.operator_id,,Tenant/operator ownership key; must not be inferred from model prose.,SIM-AIR,
inventory_lots,part_id,TEXT,False,False,parts.part_id,,Fictional component catalog identifier; not an OEM part number.,DEMO-CZT-100,
inventory_lots,station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,AMS,
inventory_lots,qty_on_hand,INTEGER,False,False,,,"Physical stock count, including stock that may be unusable.",1,
inventory_lots,qty_reserved,INTEGER,False,False,,,Quantity already held. Must be between zero and physical count.,0,
inventory_lots,condition,TEXT,False,False,,,Serviceability state used independently of physical count.,QUARANTINE,QUARANTINE / SERVICEABLE / UNSERVICEABLE
inventory_lots,release_doc_status,TEXT,False,False,,,Fixture indication that release paperwork was verified; not real certificate validation.,VERIFIED,MISSING / PENDING / VERIFIED
inventory_lots,release_doc_id,TEXT,True,False,,,Fictional release-paperwork reference.,SIM-REL-LOT-FRA-CZT-Q,
inventory_lots,expiry_utc,TEXT,False,False,,,Expiry utc as canonical UTC timestamp.,2027-06-30T23:59:59Z,
inventory_lots,owner_type,TEXT,False,False,,,Owner type for stock and eligibility evidence.,OWNED,OWNED / POOL
inventory_lots,borrow_approved,INTEGER,False,False,,,0/1 indication that use of pooled/borrowed stock is authorized in the fixture.,1,
inventory_lots,bin_location,TEXT,False,False,,,Bin location for stock and eligibility evidence.,FRA-SIM-A01,
inventory_lots,last_verified_at,TEXT,False,False,,,Source-snapshot verification time used for freshness checks.,2026-09-14T06:00:00Z,
inventory_lots,row_version,INTEGER,False,False,,1,Optimistic-concurrency marker; increment whenever stock changes.,1,
inventory_lots,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
engineers,engineer_id,TEXT,False,True,,,Stable engineer identifier.,ENG-AMS-01,
engineers,name,TEXT,False,False,,,Name for fictional human resources.,Demo Engineer DXB 01,
engineers,provider_id,TEXT,False,False,providers.provider_id,,Stable provider identifier.,PROV-DXB-MRO,
engineers,home_station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,DXB,
engineers,employment_status,TEXT,False,False,,,Employment status for fictional human resources.,ACTIVE,
engineers,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
authorizations,authorization_id,TEXT,False,True,,,Stable authorization identifier.,AUTH-AMS-01,
authorizations,engineer_id,TEXT,False,False,engineers.engineer_id,,Stable engineer identifier.,ENG-DXB-01,
authorizations,operator_id,TEXT,False,False,operators.operator_id,,Tenant/operator ownership key; must not be inferred from model prose.,SIM-AIR,
authorizations,aircraft_type,TEXT,False,False,,,Aircraft model applicability label.,A320-200,
authorizations,config_code,TEXT,False,False,,,Operator-specific fictional configuration applicability code.,CAB-C01,
authorizations,task_scope,TEXT,False,False,,,Fictional operator/task authorization scope; aircraft type alone is insufficient.,SIM-CABIN-COMFORT,
authorizations,station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,AMS,
authorizations,valid_from,TEXT,False,False,,,Inclusive beginning of applicability/authorization in canonical UTC.,2026-01-01T00:00:00Z,
authorizations,valid_to,TEXT,False,False,,,Exclusive end of applicability/authorization in canonical UTC.,2027-06-30T23:59:59Z,
authorizations,status,TEXT,False,False,,,Lifecycle/status enum for authorizations; see application rules.,ACTIVE,ACTIVE
authorizations,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
engineer_shifts,shift_id,TEXT,False,True,,,Stable shift identifier.,SHIFT-AMS-01-0,
engineer_shifts,engineer_id,TEXT,False,False,engineers.engineer_id,,Stable engineer identifier.,ENG-DXB-01,
engineer_shifts,station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,DXB,
engineer_shifts,start_utc,TEXT,False,False,,,Start utc as canonical UTC timestamp.,2026-09-14T05:00:00Z,
engineer_shifts,end_utc,TEXT,False,False,,,End utc as canonical UTC timestamp.,2026-09-14T13:00:00Z,
engineer_shifts,busy_until_utc,TEXT,False,False,,,Engineer is committed to other work until this instant.,2026-09-14T06:45:00Z,
engineer_shifts,last_verified_at,TEXT,False,False,,,Source-snapshot verification time used for freshness checks.,2026-09-14T06:00:00Z,
engineer_shifts,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
tool_assets,tool_asset_id,TEXT,False,True,,,Stable tool asset identifier.,TOOL-AMS-01,
tool_assets,station,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,DXB,
tool_assets,tool_code,TEXT,False,False,,,Tool code for planning tools and calibration.,SIM-DIAG-CAB,
tool_assets,description,TEXT,False,False,,,Description for planning tools and calibration.,Fictional planning resource; consult approved task for actual tooling,
tool_assets,condition,TEXT,False,False,,,Serviceability state used independently of physical count.,SERVICEABLE,SERVICEABLE
tool_assets,calibration_expiry_utc,TEXT,False,False,,,Tool calibration expiry used as a hard planning constraint.,2027-01-31T23:59:59Z,
tool_assets,available_from_utc,TEXT,False,False,,,"Earliest resource/quote availability; for fleet status, station is an inbound target until this time.",2026-09-14T06:00:00Z,
tool_assets,last_verified_at,TEXT,False,False,,,Source-snapshot verification time used for freshness checks.,2026-09-14T06:00:00Z,
tool_assets,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
task_requirements,task_id,TEXT,False,True,,,Stable task identifier.,SIM-TASK-001,
task_requirements,fault_code,TEXT,False,False,fault_catalog.fault_code,,Fictional maintenance-event key; not a real cockpit warning code.,DEMO-A350-21-047,
task_requirements,aircraft_type,TEXT,False,False,,,Aircraft model applicability label.,A350-900,
task_requirements,config_code,TEXT,False,False,,,Operator-specific fictional configuration applicability code.,CAB-C01,
task_requirements,task_scope,TEXT,False,False,,,Fictional operator/task authorization scope; aircraft type alone is insufficient.,SIM-CABIN-COMFORT,
task_requirements,tool_code,TEXT,False,False,,,"Tool code for synthetic planning durations, not procedures.",SIM-DIAG-CAB,
task_requirements,inspection_minutes,INTEGER,False,False,,,Synthetic inspection minutes planning input.,15,
task_requirements,resolution_minutes,INTEGER,False,False,,,Synthetic resolution minutes planning input.,10,
task_requirements,verification_minutes,INTEGER,False,False,,,Synthetic verification minutes planning input.,10,
task_requirements,recording_minutes,INTEGER,False,False,,,Synthetic recording minutes planning input.,5,
task_requirements,replacement_minutes,INTEGER,False,False,,,Synthetic replacement minutes planning input.,75,
task_requirements,data_class,TEXT,False,False,,'SYNTHETIC',Provenance label: distinguish synthetic records from public reference facts.,SYNTHETIC,SYNTHETIC
flights,flight_id,TEXT,False,True,,,Stable flight identifier.,F-02-0-A,
flights,operator_id,TEXT,False,False,operators.operator_id,,Tenant/operator ownership key; must not be inferred from model prose.,SIM-AIR,
flights,aircraft_id,TEXT,False,False,aircraft.aircraft_id,,"Internal aircraft identity; used to join history, rotations and cases.",AC-001,
flights,display_number,TEXT,False,False,,,Display number for public-pattern anchor and synthetic rotations.,SIM043 / EK43-pattern,
flights,origin,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,DXB,
flights,destination,TEXT,False,False,airports.iata,,IATA airport/station code; linked master or applicability label.,FRA,
flights,scheduled_out_utc,TEXT,False,False,,,Scheduled departure/off-block time used to evaluate delay.,2026-09-13T23:25:00Z,
flights,scheduled_in_utc,TEXT,False,False,,,Scheduled arrival/in-block time.,2026-09-14T06:50:00Z,
flights,estimated_landing_utc,TEXT,False,False,,,"Assumed touchdown, distinct from arrival at stand.",2026-09-14T06:40:00Z,
flights,estimated_inblock_utc,TEXT,False,False,,,Expected arrival at stand and start of the ground window.,2026-09-14T06:50:00Z,
flights,other_turnaround_ready_utc,TEXT,False,False,,,Readiness of parallel non-maintenance activities; do not sum them sequentially.,2026-09-13T23:05:00Z,
flights,dispatch_buffer_minutes,INTEGER,False,False,,,Synthetic preparation buffer after all modeled readiness paths; not a dispatch authorization.,20,
flights,passengers,INTEGER,False,False,,,Passengers for public-pattern anchor and synthetic rotations.,286,
flights,crew_ready,INTEGER,False,False,,,Fixture availability flag only; no complete crew-legality calculation is implemented.,1,
flights,slot_confirmed,INTEGER,False,False,,,Fixture slot-status flag only; no ATC/airport-slot integration exists.,1,
flights,status,TEXT,False,False,,,Lifecycle/status enum for flights; see application rules.,AIRBORNE,AIRBORNE / SCHEDULED
