frame,title,screen_action,expected_or_presenter
1,Establish the rotation,Open the workspace. Show DXB-FRA-DXB and the 11:00 next departure. Explain that the airline and incident are fictional.,"""We are preparing the ground response, not controlling this aircraft."""
2,Receive an airborne event,"As SIMULATOR, load nominal. Show the event timestamp, destination, source and reported symptom.",Case CREATED. The physical fault has not been diagnosed by the model.
3,Apply the authority boundary,"Inspect the supplied authorization: ENABLED, GROUND_PREPARATION_ONLY, expires 07:00Z.","""Maintenance Control permits preparation. Flight safety stays outside this workspace."""
4,Assemble relevant evidence,Select MCC and run Prepare recovery plan. Reference mode is visibly marked; live mode performs the configured local model calls.,"History includes HIST-0042. Retrieve applicable current documents; exclude wrong type, configuration, tenant, future and untrusted content."
5,Check the ground resources,Show FRA physical stock 1 but usable stock 0; AMS usable 1; eligible FRA engineer and tool; expired and wrong-type alternatives.,"""A database count is not the same as an available, usable component or an authorized person."""
6,Compare options,Show A: conditional local resolution. B: dispatch-review evidence only. C: component movement contingency. D: no uncommitted compatible spare.,A meets the illustrative schedule if its physical assumptions hold. C does not: AMS part ready at FRA 12:20 CEST. B is never a flight permission.
7,Approve preparation,"As MCC, click Approve preparation before the plan expires.","One approval, one reversible component hold, and three simulated outbox records. No real notification, shipment or work-order integration occurs."
8,Aircraft remains airborne,"Switch to SIMULATOR; advance to 08:30 CEST. Show AIRBORNE, 20 minutes to stand, prepared evidence and held contingency.","""The aircraft has not arrived, but the ground team has its preparation package."""
9,Arrive and validate physically,"As SIMULATOR, click Arrive at stand: 08:50 CEST.",State ON_STAND. Authorized personnel perform physical work outside this application. No actual procedure is generated here.
10,Record the external outcome,"As SIMULATOR, record external completion at 09:35 CEST; export evidence JSON.","State CLOSED; unused hold released. Status came from an external-system fixture, not from the model."
