tool_asset_id,station,tool_code,description,condition,calibration_expiry_utc,available_from_utc,last_verified_at,data_class
TOOL-DXB-01,DXB,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-DXB-02,DXB,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-DXB-03,DXB,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-FRA-01,FRA,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-FRA-02,FRA,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-FRA-03,FRA,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-AMS-01,AMS,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-AMS-02,AMS,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2026-08-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-AMS-03,AMS,SIM-GENERAL-KIT,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
TOOL-CDG-01,CDG,SIM-DIAG-CAB,Fictional planning resource; consult approved task for actual tooling,SERVICEABLE,2027-01-31T23:59:59Z,2026-09-14T06:00:00Z,2026-09-14T06:00:00Z,SYNTHETIC
