aircraft_id,station,available_from_utc,allocated_flight_id,status,compatible_crew,last_verified_at,data_class
AC-002,FRA,2026-09-14T06:30:00Z,F-02-0-B,ALLOCATED,1,2026-09-14T06:00:00Z,SYNTHETIC
AC-003,AMS,2026-09-14T09:30:00Z,F-03-0-B,INBOUND_ALLOCATED,1,2026-09-14T06:00:00Z,SYNTHETIC
AC-004,CDG,2026-09-14T10:30:00Z,F-04-0-B,INBOUND_ALLOCATED,1,2026-09-14T06:00:00Z,SYNTHETIC
AC-005,MUC,2026-09-14T06:30:00Z,F-05-0-B,ALLOCATED,1,2026-09-14T06:00:00Z,SYNTHETIC
AC-006,VIE,2026-09-14T07:30:00Z,F-06-0-B,INBOUND_ALLOCATED,1,2026-09-14T06:00:00Z,SYNTHETIC
AC-007,LHR,2026-09-14T08:30:00Z,F-07-0-B,INBOUND_ALLOCATED,1,2026-09-14T06:00:00Z,SYNTHETIC
AC-008,FCO,2026-09-14T09:30:00Z,F-08-0-B,INBOUND_ALLOCATED,1,2026-09-14T06:00:00Z,SYNTHETIC
AC-009,FRA,2026-09-14T06:30:00Z,F-09-0-B,ALLOCATED,0,2026-09-14T06:00:00Z,SYNTHETIC
AC-010,ZRH,2026-09-14T06:30:00Z,F-10-0-B,ALLOCATED,0,2026-09-14T06:00:00Z,SYNTHETIC
AC-011,FRA,2026-09-14T07:30:00Z,F-11-0-B,INBOUND_ALLOCATED,0,2026-09-14T06:00:00Z,SYNTHETIC
AC-012,AMS,2026-09-14T08:30:00Z,F-12-0-B,INBOUND_ALLOCATED,0,2026-09-14T06:00:00Z,SYNTHETIC
