effectivity_id,part_id,operator_id,aircraft_type,config_code,valid_from,valid_to,approval_reference,data_class
EFF-001,DEMO-CZT-100,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-001,SYNTHETIC
EFF-002,DEMO-PART-002,SIM-AIR,A350-900,CAB-C02,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-002,SYNTHETIC
EFF-003,DEMO-PART-003,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-003,SYNTHETIC
EFF-004,DEMO-PART-004,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-004,SYNTHETIC
EFF-005,DEMO-PART-005,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-005,SYNTHETIC
EFF-006,DEMO-PART-006,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-006,SYNTHETIC
EFF-007,DEMO-PART-007,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-007,SYNTHETIC
EFF-008,DEMO-PART-008,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-008,SYNTHETIC
EFF-009,DEMO-PART-009,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-009,SYNTHETIC
EFF-010,DEMO-PART-010,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-010,SYNTHETIC
EFF-011,DEMO-PART-011,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-011,SYNTHETIC
EFF-012,DEMO-PART-012,SIM-AIR,A350-900,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-012,SYNTHETIC
EFF-013,DEMO-PART-013,SIM-AIR,A320-200,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-013,SYNTHETIC
EFF-014,DEMO-PART-014,SIM-AIR,A320-200,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-014,SYNTHETIC
EFF-015,DEMO-PART-015,SIM-AIR,A320-200,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-015,SYNTHETIC
EFF-016,DEMO-PART-016,SIM-AIR,A320-200,CAB-C01,2026-01-01T00:00:00Z,2027-01-01T00:00:00Z,SIM-EFF-016,SYNTHETIC
